name,photo,about,cv,records
Maria Pia Dalla Torre,team-4.jpg,"47 anni, sposata con due figli, vivo in Clarina e lavoro da oltre 20 anni nell’Area Servizi agli Studenti dell’Opera Universitaria di Trento, per garantire il diritto allo studio agli studenti universitari. Ho sempre dedicato il mio tempo libero al volontariato e dal 2022 sono diventata volontaria in cure palliative presso Casa Hospice Cima verde, dove presto accoglienza ed assistenza agli ospiti e ai loro familiari.",dalla_torre.pdf,
Lorenzo Dalrì,team-6.jpg,"Ho lavorato fin dalla terza media, impegnandomi da subito come delegato sindacale. Anche da pensionato, continuo a dare consigli in ambito lavorativo. Appassionato di funghi e tifoso della Trentino Volley, credo che con l’impegno di tutti si possa costruire una società migliore per i nostri ragazzi.",dalri.pdf,
Felipe De Gasperi,team-25.jpg,"Nato a Bento Gonçalves, Brasile, si è trasferito a Trento nel 2022 con la sua famiglia, scegliendo Meano come casa. Dopo 11 anni in BANRISUL, oggi lavora in contabilità presso DAO. Con studi in Biologia, ha sempre operato in ambito amministrativo ed economico.",de_gasperi.pdf,
Claudio Dellai,team-1.jpg,"Architetto e docente in pensione, ha insegnato Modellistica per il Design al Liceo Artistico di Trento. Impegnato nel recupero urbano, ha guidato un progetto di risanamento condominiale con il supporto del Sindaco Ianeselli. Continua la sua battaglia per una Trento più bella e sicura.",dellai.pdf,
Chiara De Pol,team-11.jpg,"Manager del turismo e Presidente di Lotus Oltre il Tumore al Seno, impegnata nel sociale e nella comunicazione digitale. Dopo la malattia, ha trasformato le sue competenze per supportare i pazienti oncologici, creando progetti innovativi come Trekking Rosa per la prevenzione e l’informazione accessibile.",de_pol.pdf,
Francesca Fiori,team-32.jpg,"Coordinatrice del Centro Servizi Volontariato Trentino e consigliera comunale dal 2020, si impegna per una comunità inclusiva, dove nessuno viene lasciato indietro. Crede nel valore delle relazioni autentiche come motore di progresso e benessere.",fiori.pdf,
Cristina Frizzera,team-34.jpg,"Commessa negozio abbigliamento, cuoca in casa accoglienza,  custode al castello buonconsiglio e volontaria presso casa accoglienza",frizzera.pdf,
Francesca Furlani,team-35.jpg,Occupata dal 2008 nel settore alimentari e nello specifico presso il consorzio Sait. Appassionata di natura e sport - pratico prevalentemente la corsa in montagna e lo sci alpinismo.,furlani.pdf,
Ilana Gotz,team-36.jpg,"originaria di Los Angeles, vive a Trento da 15 anni ed è mamma di tre ragazze. Esperta di terzo settore, lavora presso EURICSE e ha collaborato a Trento Capitale Europea del Volontariato 2024. Attiva nel volontariato e nella cura dei beni comuni, si candida per una città accogliente e partecipata.",gotz.pdf,
Francesco Guadagnini,team-17.jpg,,guadagnini.pdf,
Rebeh Harkati,team-14.jpg,"Nata in Tunisia nel 1978, ha lavorato come segretaria in una scuola elementare. In Trentino dal 2007, si è formata come aiuto cuoca e oggi lavora in una mensa scolastica. Madre di tre figli, si impegna per la comunità e l’integrazione.",harkati.pdf,
Spartak Malaj,team-26.jpg,"nato in Albania, vive a Trento dal 2001. Qui ha trovato opportunità di crescita personale e professionale, abbracciando valori come lo studio e l’accessibilità per tutti. Per lui, Trento non è solo una città, ma una comunità da valorizzare e far crescere insieme.",malaj.pdf,
Paolo Holneider,team-30.jpg,"52 anni, videoperatore, giornalista e consigliere circoscrizionale. Attivo nel sociale, ha guidato una cooperativa per l’inserimento lavorativo e collabora con l’Istituto Artigianelli. Volontario e membro della Commissione Cinematografica del Ministero della Cultura.",holneider.pdf,
Ting Ting Hu,team-18.jpg,"Nata a Moncalieri e cresciuta in Cina, ha sviluppato forti competenze interculturali e di adattamento. Con oltre 10 anni di esperienza nel settore bar e come interprete italiano-cinese, studia Gestione Aziendale all'Università di Trento. Appassionata di viaggi e fotografia, unisce pratica e teoria per una crescita professionale dinamica.",tingtin.pdf,
Jenny Koyate detta Jenny,team-24.jpg,"Psicologa, docente e volontaria, impegnata in inclusione sociale e benessere. Lavora all’Istituto Artigianelli di Trento, ha ideato il PLP per l’inserimento lavorativo delle persone con DSA e fa volontariato in ambito carcerario e sociale. Si candida per una Trento più inclusiva.",koyate.pdf,
Olesya Linetska,team-8.jpg,"Nata nel 1997 a Leopoli, Ucraina, si trasferisce in Italia a 15 anni. Volontaria attiva nell’Associazione Rasom Aps, ha organizzato aiuti umanitari e missioni in Ucraina, assistendo oltre 400 rifugiati con il progetto RASOM-SOS. Dal 2025 collabora con Trentino School of Management su progetti di formazione a distanza. ",linetska.pdf,
Giuliana Luise,team-19.jpg,"“LaGiuli”, trentina nata all’ombra del Doss Trento, per 25 anni geometra libera professionista, oggi lavora nel settore delle pulizie, gestendo personale e logistica. Appassionata di teatro, volley e della sua moto, crede nella “bona creanza” come valore guida. Si candida per una Trento più solidale, inclusiva e capace di sorridere.",luise.pdf,
Razije Maziami detta Rosi,team-21.jpg,"Arrivata dalla Macedonia, lavora nel settore della ristorazione. Dal 1989 Trento è diventata la sua casa, il luogo dove è nata sua figlia e a cui è profondamente legata. Sostiene questa lista per contribuire al futuro della città che l’ha accolta.",maziami.pdf,
Caterina Claudia Midiri,team-16.jpg,Spero di contribuire a rendere Trento una città umanamente migliore con le persone giuste! Insegno matematica all’ITT Buonarroti di Trento: insegnare è un mestiere di alto valore sociale e credo che una scuola efficace ed inclusiva conceda pari opportunità ai ragazzi che sono il futuro della nostra comunità.,midiri.pdf,
Maurizio Napolitano,team-40.jpg,"per molti “napo”, è un ricercatore sulla collina di Trento esperto di digitale, scienza dei dati e intelligenza artificiale, con la passione di rendere la tecnologia accessibile a tutti. Allenatore di volley di lunga data, trae ispirazione anche dal mondo dello sport.",napolitano.pdf,
Angela Parziani,team-20.jpg,"Ha lavorato come impiegata presso la PAT (1991-1994) e come responsabile amministrativa al Consorzio Scuole Musicali (2000-2003). Dal 2004 al 2008 è stata responsabile FSE alla Comunità di San Patrignano. Volontaria dell’Associazione Dialogos dal 2009, si occupa di progetti di sviluppo in Guatemala. Dal 2010 è consulente aziendale in ambito sociale e dal 2017 volontaria al Gattile Pan-Eppaa di San Martino.",parziani.pdf,
Alberto Pattini,team-7.jpg,"Farmacista in piazza Duomo, scrittore di 32 libri tra cui di poesie legate alla montagna. Appassionato di arte, di fotografia, delle tradizioni trentine e di storia locale identitaria. Ricercatore di alimentazione dello sport. Consigliere comunale uscente",pattini.pdf,
Davide Rossi,team-3.jpg,"operatore socio-sanitario con esperienza nelle cure palliative e nell’assistenza domiciliare. Laureato in Studi Storici, unisce comunicazione e fotografia per raccontare storie di umanità. Ha curato Il sorriso che rimane (2021), vincitrice del Premio Francesca Paris Kirchner (2024).",rossi.pdf,
Livia Sassudelli,team-13.jpg,"Architetta specializzata in progettazione sostenibile e certificazioni ambientali, laureata allo IUAV di Venezia e vicepresidente di Agatn. Lavora con Macro Design Studio a Rovereto e ha esperienza internazionale in allestimenti e workshop di autocostruzione.",sassudelli.pdf,
Ilaria Segato,team-15.jpg,"Ilaria Segato, 41 anni, segretaria in una RSA, impegnata nel volontariato e nella scuola come Rappresentante dei Genitori. Crede nel valore della comunità e si candida per contribuire attivamente alla crescita di Trento.",segato.pdf,
Xheik Shero,team-31.jpg,"Professionista nel settore delle costruzioni e della gestione aziendale, con esperienza nell’amministrazione, nella gestione di progetti e nell’organizzazione di eventi. Impegnato nella promozione dell’integrazione e della partecipazione attiva delle comunità locali, con particolare attenzione alla comunità albanese e al mondo dello sport.",shero.pdf,
Giuliano Stelzer,team-9.jpg,Architetto in pensione. Negli ultimi vent'anni ho coordinato i Servizi Mobilità e Urbanistica del Comune di Trento e nel 2021 ho assunto un incarico speciale relativo alle relazioni tra città e mobilità e ai percorsi partecipati per la costruzione della visione della città del futuro.,stelzer.pdf,
Jacopo Tomasi,team-27.jpg,"41 anni, giornalista professionista, lavora da dieci anni nella comunicazione per Edizioni Erickson, occupandosi di inclusione e salute mentale. Appassionato di viaggi, lettura e ciclismo, sogna una Trento più aperta e accogliente per il futuro dei suoi figli.",tomasi.pdf,
Daniele Vettorato,team-2.jpg,"Daniele Vettorato, urbanista con 20 anni di esperienza, guida il gruppo di ricerca sui Sistemi Energetici Urbani presso EURAC Research. Laureato allo IUAV e dottore in Ingegneria Ambientale, ha collaborato a progetti internazionali e pubblicato oltre 65 articoli scientifici. Membro di ISOCARP e attivo sulle Smart Cities, si candida per portare innovazione e sostenibilità a Trento.",vettorato.pdf,
Laura Zumiani,team-5.jpg,"Manager culturale e cinematografica, fondatrice della Trentino Film Commission (2010-2018) e responsabile della programmazione del Trento Film Festival. Membro del direttivo AFIC, è impegnata nel Quartiere San Giuseppe, dove ha fondato e presiede l’Associazione Quartiere San Pio X, promuovendo un laboratorio urbano e sociale.",zumiani.pdf,
